province,ssp,year,temp_grad_z,log_effort_visits_z,decades_ahead,hazard_glmm
Shanghai,SSP245,2050,2.15245764997167,2.23089481099051,2.6,0.0878902485546536
Shanghai,SSP245,2080,4.24484410603676,2.23089481099051,5.6,0.204003789839274
Shanghai,SSP585,2030,1.45499549794997,2.23089481099051,0.6,0.0657048256380478
Shanghai,SSP585,2050,5.17479364206569,2.23089481099051,2.6,0.289393557311269
Shanghai,SSP585,2080,10.7544908582393,2.23089481099051,5.6,0.978728293004265
Shanxi,SSP245,2030,3.04524836081068,1.73840416579912,0.6,0.0878083772096516
Shanxi,SSP245,2050,4.44017266485408,1.73840416579912,2.6,0.131955822356326
Shanxi,SSP245,2080,6.53255912091917,1.73840416579912,5.6,0.23691226046751
Shanxi,SSP585,2030,3.74271051283238,1.73840416579912,0.6,0.107780191790026
Shanxi,SSP585,2050,7.4625086569481,1.73840416579912,2.6,0.30269736924955
Shanxi,SSP585,2080,13.0422058731217,1.73840416579912,5.6,0.868217986703786
Sichuan,SSP245,2030,1.36106863226852,2.47256390628943,0.6,0.0687454629631994
Sichuan,SSP245,2050,2.75599293631191,2.47256390628943,2.6,0.132485841822645
Sichuan,SSP245,2080,4.84837939237701,2.47256390628943,5.6,0.330098281100135
Sichuan,SSP585,2030,2.05853078429021,2.47256390628943,0.6,0.0957145199400835
Sichuan,SSP585,2050,5.77832892840594,2.47256390628943,2.6,0.470060879196436
Sichuan,SSP585,2080,11.3580261445795,2.47256390628943,5.6,0.999957600910359
Taiwan,SSP245,2030,1.97850679533985,0.7654592509347,0.6,0.0390935704996059
Taiwan,SSP245,2050,3.37343109938325,0.7654592509347,2.6,0.0426143584640937
Taiwan,SSP245,2080,5.46581755544834,0.7654592509347,5.6,0.0484835358959261
Taiwan,SSP585,2030,2.67596894736155,0.7654592509347,0.6,0.0408168322258868
Taiwan,SSP585,2050,6.39576709147727,0.7654592509347,2.6,0.0513383782754064
Taiwan,SSP585,2080,11.9754643076509,0.7654592509347,5.6,0.0722154516859197
Tianjin,SSP245,2030,1.3322798056002,1.98599653617562,0.6,0.0573568243446988
Tianjin,SSP245,2050,2.7272041096436,1.98599653617562,2.6,0.0944928817976914
Tianjin,SSP245,2080,4.81959056570869,1.98599653617562,5.6,0.194449520885058
Tianjin,SSP585,2030,2.0297419576219,1.98599653617562,0.6,0.0737124093350701
Tianjin,SSP585,2050,5.74954010173762,1.98599653617562,2.6,0.263342511788773
Tianjin,SSP585,2080,11.3292373179112,1.98599653617562,5.6,0.912601782615663
Tibet,SSP245,2030,0.774702570844931,1.69551554577059,0.6,0.0441031136388463
Tibet,SSP245,2050,2.16962687488833,1.69551554577059,2.6,0.0661202989245779
Tibet,SSP245,2080,4.26201333095342,1.69551554577059,5.6,0.119942262028641
Tibet,SSP585,2030,1.47216472286663,1.69551554577059,0.6,0.0540330645860745
Tibet,SSP585,2050,5.19196286698235,1.69551554577059,2.6,0.155202064286752
Tibet,SSP585,2080,10.7716600831559,1.69551554577059,5.6,0.590293195221656
Xinjiang,SSP245,2030,1.76540328978956,2.03325886584672,0.6,0.0684814793506642
Xinjiang,SSP245,2050,3.16032759383296,2.03325886584672,2.6,0.114157705446493
Xinjiang,SSP245,2080,5.25271404989805,2.03325886584672,5.6,0.237195191034991
Xinjiang,SSP585,2030,2.46286544181126,2.03325886584672,0.6,0.0885611232884856
Xinjiang,SSP585,2050,6.18266358592698,2.03325886584672,2.6,0.320896220145187
Xinjiang,SSP585,2080,11.7623608021006,2.03325886584672,5.6,0.96308191307409
Yunnan,SSP245,2030,1.28118390816859,-1.14193146479936,0.6,0.0196660792181633
Yunnan,SSP245,2050,2.67610821221199,-1.14193146479936,2.6,0.0109987818039143
Yunnan,SSP245,2080,4.76849466827708,-1.14193146479936,5.6,0.00458486924801271
Yunnan,SSP585,2030,1.97864606019029,-1.14193146479936,0.6,0.0147119210063768
Yunnan,SSP585,2050,5.69844420430601,-1.14193146479936,2.6,0.00310548511258846
Yunnan,SSP585,2080,11.2781414204796,-1.14193146479936,5.6,0.000298965492041225
Zhejiang,SSP245,2030,2.17922966265538,2.6653095565518,0.6,0.112373716358312
Zhejiang,SSP245,2050,3.57415396669878,2.6653095565518,2.6,0.224792453749909
Zhejiang,SSP245,2080,5.66654042276387,2.6653095565518,5.6,0.548372828434449
Zhejiang,SSP585,2030,2.87669181467708,2.6653095565518,0.6,0.15988739244063
Zhejiang,SSP585,2050,6.5964899587928,2.6653095565518,2.6,0.732439182765136
Zhejiang,SSP585,2080,12.1761871749664,2.6653095565518,5.6,0.999999999998797
