unit_id,province,ssp,year,log_effort_visits_z,temp_grad_z,hazard_glmm,hazard_xgb
CNTY_02028,Sichuan,SSP585,2050,2.2677309154099,5.77832892840594,0.374281603970154,0.0477457009255886
CNTY_02028,Sichuan,SSP585,2080,2.2677309154099,11.3580261445795,0.996175781303488,0.0477457009255886
CNTY_02029,Sichuan,SSP245,2030,1.56759099063926,1.36106863226852,0.0500062713393653,0.0528204366564751
CNTY_02029,Sichuan,SSP245,2050,1.56759099063926,2.75599293631191,0.0716682977399756,0.0621580816805363
CNTY_02029,Sichuan,SSP245,2080,1.56759099063926,4.84837939237701,0.121726085402058,0.0621580816805363
CNTY_02029,Sichuan,SSP585,2030,1.56759099063926,2.05853078429021,0.0598966840686821,0.0621580816805363
CNTY_02029,Sichuan,SSP585,2050,1.56759099063926,5.77832892840594,0.153168144803635,0.0621580816805363
CNTY_02029,Sichuan,SSP585,2080,1.56759099063926,11.3580261445795,0.520103652527719,0.0621580816805363
CNTY_02030,Sichuan,SSP245,2030,1.54506528562681,1.36106863226852,0.0496097800237614,0.0574525557458401
CNTY_02030,Sichuan,SSP245,2050,1.54506528562681,2.75599293631191,0.0705635730752622,0.0620196275413036
CNTY_02030,Sichuan,SSP245,2080,1.54506528562681,4.84837939237701,0.118566836398699,0.0620196275413036
CNTY_02030,Sichuan,SSP585,2030,1.54506528562681,2.05853078429021,0.0591955031467687,0.0620196275413036
CNTY_02030,Sichuan,SSP585,2050,1.54506528562681,5.77832892840594,0.148536772949009,0.0620196275413036
CNTY_02030,Sichuan,SSP585,2080,1.54506528562681,11.3580261445795,0.49734988704873,0.0620196275413036
CNTY_02031,Sichuan,SSP245,2030,1.96852012928041,1.36106863226852,0.0576009828325951,0.0404796972870827
CNTY_02031,Sichuan,SSP245,2050,1.96852012928041,2.75599293631191,0.0943316408660758,0.0477457009255886
CNTY_02031,Sichuan,SSP245,2080,1.96852012928041,4.84837939237701,0.192532669232206,0.0477457009255886
CNTY_02031,Sichuan,SSP585,2030,1.96852012928041,2.05853078429021,0.0738039819591484,0.0477457009255886
CNTY_02031,Sichuan,SSP585,2050,1.96852012928041,5.77832892840594,0.259945710632483,0.0477457009255886
