unit,lon,lat,ssp,year,hazard,panel,hz
1966,92.077316622251,36.3572022215529,SSP585,2080,0.552518114305504,SSP585 — 2080,0.552518114305504
1967,92.9756319063705,36.3572022215529,SSP585,2080,0.974258120158177,SSP585 — 2080,0.974258120158177
1968,93.87394719049,36.3572022215529,SSP585,2080,0.84766493631209,SSP585 — 2080,0.84766493631209
1969,94.7722624746095,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1970,95.670577758729,36.3572022215529,SSP585,2080,0.826687530832337,SSP585 — 2080,0.826687530832337
1971,96.5688930428486,36.3572022215529,SSP585,2080,0.930064435054142,SSP585 — 2080,0.930064435054142
1972,97.4672083269681,36.3572022215529,SSP585,2080,0.999999999262018,SSP585 — 2080,0.999999999262018
1973,98.3655236110876,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1974,99.2638388952071,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1975,100.162154179327,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1976,101.060469463446,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1977,101.958784747566,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1978,102.857100031685,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1979,103.755415315805,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1980,104.653730599924,36.3572022215529,SSP585,2080,0.998295932663166,SSP585 — 2080,0.998295932663166
1981,105.552045884044,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1982,106.450361168163,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1983,107.348676452283,36.3572022215529,SSP585,2080,0.980340256008339,SSP585 — 2080,0.980340256008339
1984,108.246991736402,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1985,109.145307020522,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1986,110.043622304641,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1987,110.941937588761,36.3572022215529,SSP585,2080,0.999831376216679,SSP585 — 2080,0.999831376216679
1988,111.84025287288,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1989,112.738568157,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1990,113.63688344112,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1991,114.535198725239,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1992,115.433514009359,36.357202221553,SSP585,2080,0.999999999801872,SSP585 — 2080,0.999999999801872
1993,116.331829293478,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1994,117.230144577598,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1995,118.128459861717,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1996,119.026775145837,36.3572022215529,SSP585,2080,1,SSP585 — 2080,1
1997,119.904223353102,36.375017714134,SSP585,2080,1,SSP585 — 2080,1
1998,120.634986151713,36.4644828997828,SSP585,2080,1,SSP585 — 2080,1
1999,121.346122541522,36.7061750168915,SSP585,2080,,SSP585 — 2080,
2020,76.2441451848537,35.9175050300443,SSP585,2080,0.865251027178417,SSP585 — 2080,0.865251027178417
2021,76.9100707783439,35.827204814307,SSP585,2080,0.829005465289559,SSP585 — 2080,0.829005465289559
