file,variable,type,n_missing,min,max,unit,description
hazard_risk_upgraded_range_map_anom.csv,n_observers,integer,0,1,2306,"",""
hazard_risk_upgraded_range_map_anom.csv,n_birding_days,integer,0,1,365,"",""
hazard_risk_upgraded_range_map_anom.csv,effort_pc1,numeric,0,-1.23605962494811,19.9572679742102,"",""
hazard_risk_upgraded_range_map_anom.csv,log_effort_record_z,numeric,0,-2.03419201696452,2.76507636831817,z-score,""
hazard_risk_upgraded_range_map_anom.csv,log_effort_visits_z,numeric,0,-1.67667518925434,2.93315801551981,z-score,""
hazard_risk_upgraded_range_map_anom.csv,log_effort_observers_z,numeric,0,-1.48954639624731,3.03181961710639,z-score,""
hazard_risk_upgraded_range_map_anom.csv,log_effort_days_z,numeric,0,-1.91286613097121,1.42785233195007,z-score,""
hazard_risk_upgraded_range_map_anom.csv,effort_pc1_z,numeric,0,-0.684247839773786,10.4950292737813,z-score,""
hazard_risk_upgraded_range_map_anom.csv,mig,character,0,,,"",""
hazard_risk_upgraded_range_map_anom.csv,mig_code,integer,258,0,2,"",""
hazard_risk_upgraded_range_map_anom.csv,temp_native_anom_range,numeric,0,0.786476870270875,1.51714017811816,°C,""
hazard_risk_upgraded_range_map_anom.csv,year_c,integer,0,-11,11,year,""
hazard_risk_upgraded_range_map_anom.csv,temp_grad_range,numeric,0,-1.58968168085239,0.956010709597646,°C,""
hazard_risk_upgraded_range_map_anom.csv,temp_grad_range_z,numeric,0,-3.29076621795496,3.2888036634999,°C,""
species_historical_range_centroid.csv,species,character,0,,,"",""
species_historical_range_centroid.csv,centroid_lon,numeric,58,84.999146142582,127.382193934577,"",""
species_historical_range_centroid.csv,centroid_lat,numeric,58,17.7878288549739,46.5438823268767,"",""
species_native_climate_centroid.csv,species,character,0,,,"",""
species_native_climate_centroid.csv,bio1_native,numeric,0,-0.295992125208976,2.24565052573472,"",""
species_native_climate_centroid.csv,bio12_native,numeric,0,-525.925586694305,471.182664689092,"",""
