species,events_lost,provinces,first_year,last_year,in_birdwatch_modelled,in_rescue_modelled,modelling_status
Spodiopsar cineraceus,1,Tibet,2018,2018,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Sturnia pagodarum,1,Xinjiang,2023,2023,FALSE,FALSE,not_modelled_at_all
Curruca crassirostris,1,Tibet,2016,2016,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Sylvia atricapilla,1,Xinjiang,2013,2013,FALSE,FALSE,not_modelled_at_all
Cyanoderma rufifrons,1,Guangxi,2006,2006,FALSE,FALSE,not_modelled_at_all
Timalia pileata,1,Jiangxi,2011,2011,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Geokichla wardii,1,Tibet,2024,2024,FALSE,FALSE,not_modelled_at_all
Turdus migratorius,1,Heilongjiang,2024,2024,FALSE,FALSE,not_modelled_at_all
Zosterops japonicus,1,Hubei,2024,2024,FALSE,FALSE,not_modelled_at_all
Ardeola grayii,1,Yunnan,2016,2016,FALSE,FALSE,not_modelled_at_all
Egretta garzetta,1,Tibet,2015,2015,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Ixobrychus cinnamomeus,1,Qinghai,2019,2019,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Nycticorax nycticorax,1,Tibet,2014,2014,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Mycteria leucocephala,1,Guizhou,2009,2009,FALSE,FALSE,not_modelled_at_all
Phoebastria immutabilis,1,Fujian,2005,2005,FALSE,FALSE,not_modelled_at_all
Oceanites oceanicus,1,Zhejiang,2022,2022,FALSE,FALSE,not_modelled_at_all
Glaucidium cuculoides,1,Beijing,2008,2008,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Otus lettia,1,Gansu,2024,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Tyto longimembris,1,Hebei,2005,2005,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Anhinga melanogaster,1,Yunnan,2024,2024,FALSE,FALSE,not_modelled_at_all
Sula dactylatra,1,Zhejiang,2021,2021,FALSE,FALSE,not_modelled_at_all
